Level US;Level FR;Question;Variables;Variables (no units);Formula;Test Answer;Numeric answer;Units 1;Solve function;Full Answer;Final Snippet
12;0;A force of \( F = 10 \, \mathrm{N} \) is applied to a mass of \( m = 2 \, \mathrm{kg} \). What is the acceleration in \(\mathrm{m/s^2}\)?;F=10 N, m=2 kg;F:10, m:2;F / m;Acceleration: \( 10/2 = 5 \, \mathrm{m/s^2} \).;5;m/s^2;"def solve(F;a;m): a_=F/m;return f'{a_} m/s^2'";"Q1
According to Newton's second law of motion, the force (F) applied to an object is equal to its mass (m) multiplied by its acceleration (a):
\[ F = m \times a \]
Rearrange this equation to solve for acceleration:
\[ a = \frac{F}{m} \]

Substitute the given values for F and m into this equation:
\[ a = \frac{10\, \mathrm{N}}{2\, \mathrm{kg}} \]

To simplify this expression, divide 10 by 2:
\[ a = 5 \, \mathrm{m/s^2} \]
 
< A > 5 m/s^2 < /A >";
Doctorate;PhD;A star is observed at a distance of \( 10 \, \mathrm{parsec} \). Convert this distance into light-years, given \(1 \, \mathrm{pc} \approx 3.26 \, \mathrm{ly}\).;distance_pc=10, 1pc=3.26 ly;distance_pc:10, 1pc:3.26;distance_pc * 3.26;\( 10 \times 3.26 = 32.6 \, \mathrm{ly} \).;32.6;ly;"def solve(distance_pc;a): dist_ly=distance_pc*a;return f'{dist_ly} ly'";"Q1
To convert the distance of the star from parsecs to light-years, we will use the conversion factor provided.

Step 1: Understand the problem and identify the given information.
- Distance in parsecs = \(10\)
- Conversion factor (\(1 \, \mathrm{pc} \approx 3.26 \, \mathrm{ly}\))

Step 2: Recall the formula to apply the unit conversion.
- To convert from one unit of measurement to another, we multiply by the ratio of the new unit to the old unit. The formula is \(d_\text{new} = d_\text{old} \times \frac{\mathrm{new\ unit}}{\mathrm{old\ unit}}\).

Step 3: Apply the conversion factor.
- Substitute the given values into the formula:
\[10 \, \mathrm{pc} \times \frac{1 \, \mathrm{ly}}{1 \, \mathrm{pc}} \times \frac{3.26 \, \mathrm{ly}}{1 \, \mathrm{ly}}\]

Step 4: Simplify the expression.
- Since \(1\) and \(1\) cancel out, leaving us with just \(10 \, \mathrm{pc} \) multiplied by \(3.26\), we can calculate:
\[d_\text{new} = 10 \times 3.26 = 32.6 \, \mathrm{ly}\]

Step 5: State the final answer in the required format.
<A> 32.6 ly <\A>";32.6 ly
Undergraduate;L2;A data storage device has a capacity of \( 2 \, \mathrm{GB} \). Convert this to MB if \(1 \, \mathrm{GB} = 1024 \, \mathrm{MB}\).;GB=2, 1GB=1024 MB;GB:2, 1GB:1024;GB * 1024;\( 2 \times 1024 = 2048 \, \mathrm{MB} \).;2048;MB;"def solve(GB;a): MB=GB*a;return f'{MB} MB'";"Q1
Given that the data storage device has a capacity of \( 2 \, \mathrm{GB} \) and knowing that \( 1 \, \mathrm{GB} = 1024 \, \mathrm{MB} \), we can find the capacity in MB by multiplying \( 2 \, \mathrm{GB} \) with the conversion factor.

To convert GB to MB, we use:
\[ 1 \, \mathrm{GB} = 1024 \, \mathrm{MB} \]

Multiplying both sides by 2 gives us:

\[ 2 \, \mathrm{GB} = 2 \times 1024 \, \mathrm{MB} = 2048 \, \mathrm{MB} \]

Therefore,

<A> 2048 MB </A>";
5;CE2;A balloon of circumference is measured as \( 30 \, \mathrm{cm} \). If its diameter is a\approximately circumference/\(\pi\), find the diameter in cm (use \(\pi \approx 3.14\)).;circumference=30 cm, pi=3.14;circumference:30, pi:3.14;circumference / pi;\( 30/3.14 \approx 9.55 \, \mathrm{cm} \).;9.55;cm;"def solve(circ;pi): d=circ/pi;return f'{d} cm'";"Q1
Step 1: Recall the formula for the circumference of a circle.
The formula for the circumference (\(C\)) of a circle is given by \( C = 2 \pi r \), where \(r\) is the radius.

Step 2: Express the diameter in terms of the circumference and pi.
Given that the diameter (\(d\)) is approximately equal to the circumference divided by \(\pi\), we have:
\( d \approx \frac{C}{\pi} \).

Step 3: Substitute the given value for the circumference into the expression for diameter.
Substituting \( C = 30 \, \mathrm{cm} \) and \( \pi \approx 3.14 \) into the equation:
\( d \approx \frac{30}{3.14} \).

Step 4: Perform the division to find the numerical value of the diameter.
Calculating the value of the expression gives us:
\( d \approx 9.57 \, \mathrm{cm} \).


Therefore,
<A> 9.57 cm <\A>";9.57 cm
12;Terminale;A spacecraft travels at a speed of \( v = 15 \, \mathrm{km/s} \) for \( t = 2 \, \mathrm{hours} \). What distance does it cover?;v=15 km/s, t=2 h=7200 s;v:15, t:7200;v * t;\( 15 \times 7200 = 108,000 \, \mathrm{km} \).;108000.0;km;"def solve(v;a;t): dist=v*t;return f'{dist} km'";"Q1
To find the distance covered by the spacecraft, we need to use the formula for distance:

\( d = v \times t \)

First, let's convert the time from hours to seconds since the speed is given in km/s. We know that 1 hour = 3600 seconds.

So, \( t = 2 \, \mathrm{hours} = 2 \times 3600 = 7200 \, \mathrm{seconds} \)

Now we can plug in the values:

\( d = v \times t = 15 \, \mathrm{km/s} \times 7200 \, \mathrm{s} = 108000 \, \mathrm{km} \)

Therefore, the spacecraft covers a distance of:
<A> 108000 km <\A>";108000 km
Undergraduate;L3;A gas expands isothermally, doubling its volume. If the initial pressure was \( P_1 = 100 \, \mathrm{kPa} \), what is the final pressure?;P1=100 kPa;P1:100;P1/2;For isothermal expansion ... \( P_2 = 50 \, \mathrm{kPa} \).;50;kPa;"def solve(P1): p2=P1/2;return f'{p2} kPa'";"Q1
For an isothermal process, we can use Boyle's Law, which states that at constant temperature, the product of the pressure and volume of a gas remains constant. Mathematically, this is expressed as:

\[ P_1 V_1 = P_2 V_2 \]

Given:
- Initial pressure (\( P_1 \)) = 100 kPa
- Final volume (\( V_2 \)) = 2\( V_1 \) (since the volume doubles)

We need to find the final pressure (\( P_2 \)). Substituting the given values into Boyle's Law:

\[ P_1 V_1 = P_2 V_2 \]
\[ P_2 = P_1 \times \frac{V_2}{V_1} \]

Since \( V_2 = 2 V_1 \), we substitute this relationship directly into the equation for \( P_2 \):

\[ P_2 = 100 \, \mathrm{kPa} \times 2 \]
\[ P_2 = 200 \, \mathrm{kPa} \]

So, the final pressure after doubling the volume is 200 kPa.

<A> 200 [kPa] <\A>";200 [kPa]
Graduate;M1;An ideal gas undergoes adiabatic expansion. If the initial temperature is \( T_1 = 300 \, \mathrm{K} \) and the final temperature is \( T_2 = 150 \, \mathrm{K} \), what is the ratio of the final volume to the initial volume (\( V_2 / V_1 \))?;T1=300 K, T2=150 K, gamma=1.4;T1:300, T2:150, gamma:1.4;(T1/T2)**(1/(gamma-1));For an adiabatic process ... ratio \( 2.64 \).;2.64;;"def solve(T1;a;T2;gamma): ratio=(T1/T2)**(1/(gamma-1));return f'{ratio}'";"Q1
For an ideal gas undergoing adiabatic expansion, we know that \( pV^\gamma = \mathrm{constant} \) and also that \( T V^{\gamma - 1} = \mathrm{constant} \), where \( \gamma \) is the adiabatic index.
Given:
\( T_1 = 300 \, \mathrm{K} \)
\( T_2 = 150 \, \mathrm{K} \)

Since the process is adiabatic for an ideal gas, we can use the relation \( T V^{\gamma - 1} = \mathrm{constant} \). This allows us to write:
\[ T_1 V_1^{\gamma - 1} = T_2 V_2^{\gamma - 1} \]

We want to find the ratio of the final volume (\( V_2 \)) to the initial volume (\( V_1 \)), so we rearrange the equation:
\[ \frac{V_2}{V_1} = \left(\frac{T_1}{T_2}\right)^{\frac{1}{\gamma - 1}} \]

Given that \( T_1 = 300 \, \mathrm{K} \), \( T_2 = 150 \, \mathrm{K} \), and assuming the adiabatic index \( \gamma \) is approximately \( 1.4 \) (this value may vary slightly based on specific gas properties but is commonly used for many gases in a wide range of conditions), we can substitute these values into our equation:
\[ V_2 / V_1 = \left(\frac{300}{150}\right)^{\frac{1}{1.4 - 1}} \]

Simplifying inside the parentheses first, and then simplifying the exponent:
\[ V_2 / V_1 = (2)^{\frac{1}{0.4}} \]
\[ V_2 / V_1 = (2)^{2.5} \]
Since \( 2^2 = 4 \), raising it to a fractional power requires us to consider the multiplication of that result by an additional factor derived from the remaining part of the exponent:
\[ (2)^2 \times (2)^\frac{1}{2} \times (2)^\frac{1}{2} \]
This simplifies to:
\[ 4 \times \sqrt{2} \times \sqrt{2} = 4 \times 2 = 8 \]

So, the ratio of the final volume (\( V_2 \)) to the initial volume (\( V_1 \)) is \( 8 \).

<A> 8 <\A>";8
Doctorate;PhD;A black hole emits Hawking radiation at a temperature of \( T = 10^{-8} \, \mathrm{K} \). What is the corresponding peak wavelength? Use Wien's Law: \( \lambda = \frac{b}{T} \) where \( b = 2.9 \cdot 10^{-3} \, \mathrm{m \cdot K} \).;T=1e-8 K, b=2.9e-3 m*K;T:1e-8, b:2.9e-3;b / T;\( 2.9e-3 / 1e-8 = 2.9e5 \, \mathrm{m} \).;290000.0;m;"def solve(b;a;T): lam=b/T;return f'{lam} m'";"Q1
To find the peak wavelength of Hawking radiation emitted by a black hole at a given temperature, we can use Wien's Law. The formula provided is:
\[ \lambda = \frac{b}{T} \]
where \( b \) is a constant with a value of \( 2.9 \cdot 10^{-3} \, \mathrm{m \cdot K} \), and \( T \) is the temperature in Kelvin.

Step 1: Identify the values given in the problem.
The temperature \( T \) at which Hawking radiation is emitted by the black hole is given as \( 10^{-8} \, \mathrm{K} \). The constant \( b \) has a value of \( 2.9 \cdot 10^{-3} \, \mathrm{m \cdot K} \).

Step 2: Substitute the given values into Wien's Law formula.
Substitute the temperature \( T = 10^{-8} \, \mathrm{K} \) and the constant \( b = 2.9 \cdot 10^{-3} \, \mathrm{m \cdot K} \) into the formula \( \lambda = \frac{b}{T} \).

\[ \lambda = \frac{2.9 \cdot 10^{-3} \, \mathrm{m \cdot K}}{10^{-8} \, \mathrm{K}} \]

Step 3: Calculate the value of lambda.
Now, calculate the value of \( \lambda \) by dividing the numerator by the denominator.

\[ \lambda = 2.9 \cdot 10^{5} \, \mathrm{m} \]

Therefore, the peak wavelength corresponding to the temperature at which a black hole emits Hawking radiation is:
<A> 290000 m <\A>";290000 m
10;Première;A piston-cylinder device contains \( 0.1 \, \mathrm{m^3} \) of air at \( 300 \, \mathrm{K} \). The volume triples isobarically. What is the final temperature?;V1=0.1 m^3, T1=300 K;V1:0.1, T1:300;3*T1;\( T_2 = 3 \times 300 = 900 \, \mathrm{K} \).;900.0;K;"def solve(V1;a;T1): T2=3*T1;return f'{T2} K'";"Q1
To find the final temperature of the air after it has tripled in volume isobarically, we need to follow a step-by-step process considering the principles of thermodynamics, specifically focusing on the ideal gas law and its implications under constant pressure.

Step 1: Understanding the given conditions
- Initial volume (\( V_1 \)) = \( 0.1 \, \mathrm{m^3} \)
- Initial temperature (\( T_1 \)) = \( 300 \, \mathrm{K} \)
- Final volume (\( V_2 \)) is three times the initial volume (since it triples), so \( V_2 = 3V_1 = 3 \times 0.1 \, \mathrm{m^3} = 0.3 \, \mathrm{m^3} \)

Step 2: Applying the ideal gas law under constant pressure
The ideal gas law is given by:
\[ PV = nRT \]
where \( P \) is the pressure, \( V \) is the volume, \( n \) is the number of moles of the gas, \( R \) is the gas constant, and \( T \) is the temperature in Kelvin.

Since we are dealing with an isobaric process (constant pressure), the ideal gas law can be simplified to:
\[ V = nRT/P \]

However, for comparing temperatures before and after a change in volume under constant pressure, it's more convenient to express this relation as:
\[ T_1 V_1 /P = T_2 V_2 /P \]
Since \( P \) is constant, it cancels out on both sides of the equation. Therefore, we have:
\[ T_1 V_1 = T_2 V_2 \]

Step 3: Solving for the final temperature (\( T_2 \))
Given that \( V_2 = 3V_1 \), we substitute this into our simplified equation to solve for \( T_2 \):
\[ T_2 = T_1 \times (V_1 / V_2) \]
Substituting the known values:
\[ T_2 = 300 \, \mathrm{K} \times (0.1 \, \mathrm{m^3} / 0.3 \, \mathrm{m^3}) \]

Calculating \( T_2 \):
\[ T_2 = 300 \, \mathrm{K} \times \frac{1}{3} \]
\[ T_2 = 100 \, \mathrm{K} \]

Therefore, the final temperature of the air after it has tripled in volume isobarically is:
<A> 100 K <\A>";100 K
9;Seconde;A chemical reaction releases \( Q = 5000 \, \mathrm{J} \) of heat. If this heat raises the temperature of \( m = 2 \, \mathrm{kg} \) of water, what is the temperature change? Assume specific heat capacity \( c = 4184 \, \mathrm{J/(kg \cdot K)} \).;Q=5000 J, m=2 kg, c=4184 J/(kg*K);Q:5000, m:2, c:4184;Q/(m*c);\( 5000/(2 \times 4184) = 0.598 \, \mathrm{K} \).;0.598;K;"def solve(Q;a;m;c): dT=Q/(m*c);return f'{dT} K'";"Q1
To find the temperature change, we can use the formula:
\[ Q = mc\Delta T \]
Where:
- \( Q \) is the heat released (given as 5000 J),
- \( m \) is the mass of water (given as 2 kg),
- \( c \) is the specific heat capacity of water (given as 4184 J/(kg·K)), and
- \( \Delta T \) is the temperature change we're trying to find.

Rearranging the formula to solve for \( \Delta T \):
\[ \Delta T = \frac{Q}{mc} \]

Plugging in the values:
\[ \Delta T = \frac{5000\, \mathrm{J}}{(2\, \mathrm{kg})(4184\, \mathrm{J/(kg \cdot K)})} \]

Calculating \( \Delta T \):
\[ \Delta T = \frac{5000}{8468} \]
\[ \Delta T ≈ 0.59\, \mathrm{K} \]

So the temperature change is approximately 0.59 degrees Kelvin.

<A> 0.59 K <\A>";0.59 K
Undergraduate;L2;A satellite orbits Earth at a distance of \( r = 6.7 \cdot 10^6 \, \mathrm{m} \). What is its orbital speed? Use \( g = 9.8 \, \mathrm{m/s^2} \).;r=6.7e6 m, g=9.8 m/s^2;r:6.7e6, g:9.8;(g*r)**0.5;Orbital speed: \( \sqrt{9.8 \times 6.7\times10^6} = 8100 \,\mathrm{m/s}. \);8100.0;m/s;"def solve(r;a;g): v=(g*r)**0.5;return f'{v} m/s'";"Q1
To find the orbital speed of the satellite, we can use the formula for centripetal acceleration:

\( a_c = \frac{v^2}{r} \)

where \( v \) is the orbital speed and \( r \) is the distance from Earth's center.

The gravitational force between Earth and the satellite provides the necessary centripetal force to keep it in orbit, so we can equate this with the formula for centripetal acceleration:

\( F_g = m g = m \frac{v^2}{r} \)

Since we're solving for \( v \), we want to isolate it on one side of the equation. First, multiply both sides by \( r \) and then divide by \( m \):

\( m g r = v^2 \)

Now take the square root of both sides:

\( v = \sqrt{m g r} \)

We know that the mass of Earth is not needed to solve this problem since we can treat it as a fixed point, so we'll omit it from the formula.

Given values:
- \( r = 6.7 \cdot 10^6 \, \mathrm{m} \)
- \( g = 9.8 \, \mathrm{m/s^2} \)

Plug in these values and solve:

\( v = \sqrt{(1) \cdot (9.8) \cdot (6.7 \cdot 10^6)} \)

\( v = \sqrt{(9.8) \cdot (6.7 \cdot 10^6)} \)

\( v = \sqrt{65.66 \cdot 10^6} \)

\( v = \sqrt{6.566 \cdot 10^7} \)

\( v = \sqrt{6.566E+7} \)

\( v \approx 8.1 \cdot 10^3 \, \mathrm{m/s} \)

< A > 8100 m/s < /A >";
Graduate;M2;A fluid flows through a pipe with a cross-sectional area of \( A = 0.05 \, \mathrm{m^2} \) and velocity \( v = 2 \, \mathrm{m/s} \). What is the volume flow rate?;A=0.05 m^2, v=2 m/s;A:0.05, v:2;A*v;\( 0.05 \times 2 = 0.1 \, \mathrm{m^3/s}. \);0.1;m^3/s;"def solve(A;a;v): flow=A*v;return f'{flow} m^3/s'";"Q1
The volume flow rate can be calculated using the formula:

Volume flow rate (Q) = cross-sectional area (A) × velocity (v)

Given:
- Cross-sectional area (A) = 0.05 m^2
- Velocity (v) = 2 m/s

We substitute these values into the formula:

Q = A × v
= 0.05 m^2 × 2 m/s
= 0.1 m^3/s

<A> 0.1 m^3/s <\A>";0.1 m^3/s
Graduate;M1;An ideal Carnot engine operates between a hot reservoir at \( T_H = 600 \, \mathrm{K} \) and a cold reservoir at \( T_C = 300 \, \mathrm{K} \). The engine absorbs \( Q_H = 5000 \, \mathrm{J} \) of heat from the hot reservoir. What is the efficiency of the engine and how much work is done?;TH=600 K, TC=300 K, QH=5000 J;TH:600, TC:300, QH:5000;1 - (TC/TH);Efficiency = \( 1 - \frac{300}{600} = 0.5 \), Work = 2500 \,\mathrm{J}.;2500.0;J;"def solve(TH;a;TC;QH): eta=1-(TC/TH);work=eta*QH;return f'Eff={eta*100:.1f}%,Work={work} J'";"Q1

The efficiency of a Carnot engine can be found using the formula:

η = 1 - (T_C / T_H)

where η is the efficiency, T_C is the temperature of the cold reservoir, and T_H is the temperature of the hot reservoir.

First, we need to plug in the given values for T_C and T_H into the equation. The temperature of the hot reservoir, T_H = 600 K. The temperature of the cold reservoir, T_C = 300 K.

η = 1 - (300 / 600)
= 1 - 0.5
= 0.5

The efficiency of the engine is 50%.

To find the work done by the engine, we can use the equation:

W = Q_H * η

We know that Q_H = 5000 J and η = 0.5.

W = 5000 * 0.5
= 2500 J

The work done by the engine is 2500 J.

<A> 50 % <\A>
<A> 2500 J <\A>";50 %
Doctorate;PhD;A neutron star has a mass of \( M = 1.4 \, M_\odot \) and a radius of \( R = 10 \, \mathrm{km} \). What is the escape velocity at its surface?;M=1.4 Msun, R=10 km;M:1.4, R:10;((2*G*M)/R)**0.5;Escape velocity: ... ~6.09e8 m/s;609000000.0;m/s;"def solve(G;a;M;R): ve=((2*G*M)/R)**0.5;return f'{ve} m/s'";"To find the escape velocity from the surface of the neutron star, we can use the formula:

\[ v_{\text{escape}} = \sqrt{\frac{2GM}{R}} \]

where \( G \) is the gravitational constant, \( M \) is the mass of the neutron star, and \( R \) is its radius.

Given:
- Mass of neutron star: \( M = 1.4 \, M_\odot \)
- Radius of neutron star: \( R = 10 \, \mathrm{km} \)

First, let's convert everything to the same units for simplicity. We'll use kilograms for mass and meters for distance.

Given that:
\[ M = 1.4 \, M_\odot \]
and
\[ M_\odot = 2 \times 10^{30} \, \mathrm{kg} \]

We have:
\[ M = 1.4 \times 2 \times 10^{30} \, \mathrm{kg} = 2.8 \times 10^{30} \, \mathrm{kg} \]

The radius needs to be converted from kilometers to meters:
\[ R = 10 \, \mathrm{km} = 10^4 \, \mathrm{meters} \]

Now, we use the gravitational constant in appropriate units. \( G = 6.67408 \times 10^{-11} \, \frac{\mathrm{Nm}^2}{\mathrm{kg}^2} \)

Substituting these values into our formula:

\[ v_{\text{escape}} = \sqrt{\frac{2G(2.8 \times 10^{30})}{10^4}} \]

\[ v_{\text{escape}} = \sqrt{\frac{2 \times 6.67408 \times 10^{-11} \times 2.8 \times 10^{30}}{10^4}} \]

Simplifying and calculating the numerator first:

\[ 2 \times 6.67408 \times 10^{-11} \times 2.8 \times 10^{30} = 37.311456 \, \mathrm{Nm} \]

\[ v_{\text{escape}} = \sqrt{\frac{37.311456}{10^4}} \]

\[ v_{\text{escape}} = \sqrt{3.7311456 \times 10^{-3}} \]

\[ v_{\text{escape}} \approx 0.06104 \, \mathrm{km/s} \]

Therefore, the escape velocity at the surface of this neutron star is:

<A> 61 km/s <\A>";61 km/s
Graduate;M1;Water flows through a horizontal pipe with a cross-sectional area of \( A_1 = 0.2 \, \mathrm{m^2} \) at a velocity of \( v_1 = 3 \, \mathrm{m/s} \). The pipe narrows to a cross-sectional area of \( A_2 = 0.05 \, \mathrm{m^2} \). What is the velocity of water in the narrower section?;A1=0.2 m^2, v1=3 m/s, A2=0.05 m^2;A1:0.2, v1:3, A2:0.05;(A1*v1)/A2;Using continuity: \( v_2 = 12 \,\mathrm{m/s}. \);12.0;m/s;"def solve(A1;a;v1;A2): v2=(A1*v1)/A2;return f'{v2} m/s'";"Q1
The problem describes a situation where water flows through a horizontal pipe with two sections having different cross-sectional areas and velocities. We are asked to find the velocity of the water in the narrower section, given certain conditions.

To solve this, we will apply the principle of conservation of mass and the equation of continuity, which states that the product of the area of the pipe and the velocity of the fluid is constant throughout the pipe.

First, let's denote the velocities in the two sections as \( v_1 = 3 \, \mathrm{m/s} \) (given) and \( v_2 \), which we need to find. The areas are given as \( A_1 = 0.2 \, \mathrm{m^2} \) and \( A_2 = 0.05 \, \mathrm{m^2} \).

The equation of continuity is:
\[A_1 v_1 = A_2 v_2\]

Given that \( A_1 = 0.2 \, \mathrm{m^2} \), \( v_1 = 3 \, \mathrm{m/s} \), and \( A_2 = 0.05 \, \mathrm{m^2} \), we can substitute these values into the equation:
\[ (0.2 \, \mathrm{m^2}) (3 \, \mathrm{m/s}) = (0.05 \, \mathrm{m^2}) v_2\]

Simplifying both sides of the equation gives us:
\[ 0.6 \, \mathrm{m^2/s} = 0.05 \, \mathrm{m^2} v_2\]

To solve for \(v_2\), we divide both sides by \( A_2 \):
\[ v_2 = \frac{0.6 \, \mathrm{m^2/s}}{0.05 \, \mathrm{m^2}}\]
Simplifying the expression:
\[ v_2 = 12 \, \mathrm{m/s}\]

Therefore, the velocity of water in the narrower section is \( 12 \, \mathrm{m/s} \).

The final answer is: 
<A> 12 m/s <\A>";12 m/s
Undergraduate;L3;A chemical reaction releases \( Q = 1500 \, \mathrm{J} \) of energy into \( 0.5 \, \mathrm{kg} \) of water. If the specific heat capacity of water is \( c = 4184 \, \mathrm{J/(kg \cdot K)} \), what is the temperature change?;Q=1500 J, m=0.5 kg, c=4184 J/(kg*K);Q:1500, m:0.5, c:4184;Q/(m*c);\( 1500/(0.5 \times 4184) = 0.717 \,\mathrm{K}. \);0.717;K;"def solve(Q;a;m;c): dT=Q/(m*c);return f'{dT} K'";"Q1
Step 1: Recall the formula to calculate temperature change using energy released and specific heat capacity.
The formula to calculate the temperature change is given by:
\[ \Delta T = \frac{Q}{mc} \]
where \( Q \) is the amount of energy released, \( m \) is the mass of water, and \( c \) is the specific heat capacity of water.

Step 2: Plug in the values into the formula.
Given values are:
- Energy released, \( Q = 1500 \, \mathrm{J} \)
- Mass of water, \( m = 0.5 \, \mathrm{kg} \)
- Specific heat capacity of water, \( c = 4184 \, \mathrm{J/(kg \cdot K)} \)

Substituting these values into the formula:
\[ \Delta T = \frac{1500}{(0.5) \times (4184)} \]

Step 3: Perform the calculation.
Carrying out the arithmetic operation within the fraction first by multiplying \( 0.5 \, \mathrm{kg} \) and \( 4184 \, \mathrm{J/(kg \cdot K)} \):
\[ 0.5 \times 4184 = 2092 \, \mathrm{J/K} \]
Then divide the energy released by this result:
\[ \Delta T = \frac{1500}{2092} \]

Step 4: Calculate the final value of ΔT.
To find the temperature change \( \Delta T \), perform the division:
\[ \Delta T = \frac{1500}{2092} \approx 0.7168 \, \mathrm{K} \]

Since we're solving for a quantity that is by definition already in Kelvin (for temperature changes):
<ΔT> 0.717 K <\ΔT>";
Graduate;M1;A satellite orbits Earth at a distance of \( r = 7.0 \cdot 10^6 \, \mathrm{m} \). Using Earth's gravitational constant \( g = 9.8 \, \mathrm{m/s^2} \), calculate its orbital speed.;r=7.0e6 m, g=9.8 m/s^2;r:7.0e6, g:9.8;(g*r)**0.5;\( \sqrt{9.8 \times 7.0\times10^6} = 8.29\times10^3 \,\mathrm{m/s}. \);8290.0;m/s;"def solve(r;a;g): v=(g*r)**0.5;return f'{v} m/s'";"Q1
The orbital speed of the satellite can be calculated using the formula for centripetal acceleration, which is provided by Newton's law of universal gravitation.

a_c = (G \* M) / r^2

where:
- a_c is the centripetal acceleration,
- G is the gravitational constant (\(6.674 \cdot 10^{-11} \mathrm{Nm^2/kg^2}\)),
- M is the mass of Earth (\(5.972 \cdot 10^{24} kg\)), and
- r is the distance from the center of Earth to the satellite.

The centripetal acceleration equals the gravitational force per unit mass, or F / m:

a_c = (G \* M) / r^2

To find the orbital speed v, we need to use the formula for centripetal acceleration:

a_c = v^2 / r

So we can set these two equations equal to each other and solve for v.

v^2 = a_c * r
v = sqrt(a_c * r)

We will first calculate the gravitational constant times mass of Earth, G \* M, then plug it into our equation to find v:

G \* M = (6.674 \cdot 10^{-11})\* (5.972 \cdot 10^{24})
= 39.79 \cdot 10^{13}

Now we can substitute this value and the radius of Earth's orbit r into the formula for v:

v = sqrt((39.79 \cdot 10^{13})(7.0 \cdot 10^6))
= sqrt(2.7723 \cdot 10^{20})
= 5.288 \cdot 10^9 m/s

So, the orbital speed of this satellite is approximately:
<A> 5288 million m/s <\A>";5288 million m/s
Doctorate;PhD;A photon has an energy of \( E = 4.0 \, \mathrm{eV} \). Convert this energy into joules using \( 1 \, \mathrm{eV} = 1.602 \cdot 10^{-19} \, \mathrm{J} \).;E=4.0 eV, 1eV=1.602e-19 J;E:4.0, 1eV:1.602e-19;E_eV*1.602e-19;\( 4.0 \times 1.602\times10^{-19} = 6.408\times10^{-19} \,\mathrm{J}. \);6.408e-19;J;"def solve(E_eV;a): E_J=E_eV*a;return f'{E_J} J'";"Q1
The given problem involves the conversion of the energy of a photon from electronvolts (eV) to joules (J).

We're provided with the conversion factor: \( 1 \, \mathrm{eV} = 1.602 \cdot 10^{-19} \, \mathrm{J} \). This means that 1 eV is equal to a very small amount of energy in joules.

The given energy of the photon is \( E = 4.0 \, \mathrm{eV} \), and we need to convert it into joules.

First, let's understand what we're doing here. We're essentially multiplying the given energy by the conversion factor to get the equivalent amount in joules.

\( E_{\text{joules}} = E_{\text{eV}} \times 1.602 \cdot 10^{-19} \, \mathrm{J/eV} \)

Here, \( E_{\text{joules}} \) represents the energy in joules and \( E_{\text{eV}} \) is the given energy in eV.

Substituting the values:
\( E_{\text{joules}} = 4.0 \, \mathrm{eV} \times 1.602 \cdot 10^{-19} \, \mathrm{J/eV} \)

Performing the multiplication:
\( E_{\text{joules}} = (4.0) \times (1.602 \cdot 10^{-19}) \)
\( E_{\text{joules}} = 6.408 \cdot 10^{-19} \, \mathrm{J} \)

Thus, the energy of the photon in joules is:
<A> 6.408 x 10^-19 J <\A>";6.408 x 10^-19 J
Graduate;M2;A mass-spring-damper system is described by the differential equation: \[ m \frac{d^2 x}{dt^2} + c \frac{dx}{dt} + kx = 0 \], where \( m = 1 \, \mathrm{kg} \), \( c = 2 \, \mathrm{Ns/m} \), and \( k = 5 \, \mathrm{N/m} \). Determine the natural frequency of the system and classify the damping.;m=1 kg, c=2 Ns/m, k=5 N/m;m:1, c:2, k:5;(k/m)**0.5;The system is underdamped ... \(\omega_n=2.236\).;2.236;rad/s;"def solve(m;a;c;k): w=(k/m)**0.5;damped='underdamped' if c*c<4*m*k else 'overdamped';return f'{w} rad/s,{damped}'";"Q1

To determine the natural frequency of the system, we can rearrange the differential equation to solve for the frequency. The natural frequency is given by:

\[ \omega_n = \sqrt{\frac{k}{m}} \]

First, let's substitute the given values into this expression.

\[ \omega_n = \sqrt{\frac{5\, \mathrm{N/m}}{1\, \mathrm{kg}}} \]

Now, let's simplify the expression.

\[ \omega_n = \sqrt{5} \, \mathrm{rad/s} \]

Evaluating the square root of 5 gives:

\[ \omega_n \approx 2.23607 \, \mathrm{rad/s} \]

Therefore, the natural frequency of the system is approximately 2.24 rad/s.

Next, to classify the damping, we need to calculate the ratio of critical damping (c_{crit}) to actual damping coefficient (c). The formula for critical damping is:

\[ c_{\text{crit}} = 2 \sqrt{k m} \]

Substituting the given values into this expression gives:

\[ c_{\text{crit}} = 2 \sqrt{(5\, \mathrm{N/m})(1\, \mathrm{kg})} \]

Simplifying and evaluating this expression yields:

\[ c_{\text{crit}} = 2 \sqrt{5}\, \mathrm{Ns/m} \approx 4.47214\, \mathrm{Ns/m} \]

Now, we can calculate the ratio of critical damping to actual damping coefficient.

\[ \frac{c_{\text{crit}}}{c} = \frac{4.47214\, \mathrm{Ns/m}}{2\, \mathrm{Ns/m}} \approx 2.23607 \]

Since this ratio is greater than 1, the system has a high amount of damping.

In conclusion, the natural frequency of the system is approximately 2.24 rad/s, and the system exhibits high damping.

<A> 2.24 rad/s <\A>";2.24 rad/s
